i;BuyOrSell;PosNeg;dateTime;price;encryptedName;;;starsNum;itemId;text;;;category;
78;(Kupujący);Pozytywny;2011-02-26 00:00:39;2400;5C-F1-9B-0D-5E-E6-30-AC-FC-94-33-A1-17-21-63-62;;;12;1453613186;rtv-i-agd
79;(Kupujący);Pozytywny;2011-02-26 00:00:29;2400;5C-F1-9B-0D-5E-E6-30-AC-FC-94-33-A1-17-21-63-62;;;12;1445707046;komputery
81;(Kupujący);Pozytywny;2011-02-25 21:21:10;11700;10-29-00-1B-B1-49-39-94-F8-9B-EE-F3-AD-9E-1D-E2;;;181;1393035191;komputery
82;(Kupujący);Pozytywny;2011-02-25 21:21:10;7200;10-29-00-1B-B1-49-39-94-F8-9B-EE-F3-AD-9E-1D-E2;;;181;1405894037;komputery
83;(Kupujący);Pozytywny;2011-02-25 20:46:11;1600;8F-C0-B5-3A-EB-A0-1D-D1-7C-02-9C-86-9D-C7-2C-92;;;369;1463295529;komputery
85;(Kupujący);Pozytywny;2011-02-25 19:33:15;3200;7E-95-6D-E0-D7-A3-90-F1-45-9D-BC-F6-7C-35-DA-E6;;;68;1460425497;komputery
86;(Kupujący);Pozytywny;2011-02-25 17:41:19;4200;25-F9-E1-45-4D-12-B8-EF-5A-E6-77-9A-7B-8B-EB-2E;;;178;1448589766;komputery
87;(Kupujący);Pozytywny;2011-02-25 17:16:52;4500;30-73-78-92-11-4C-3F-5A-BB-FE-E5-84-69-75-79-E1;;;17;1448436464;komputery
88;(Kupujący);Pozytywny;2011-02-25 16:08:14;12900;27-C7-BF-2A-50-61-A4-AF-90-DD-AC-68-9E-C4-73-5B;;;57;1450791929;komputery
91;(Kupujący);Pozytywny;2011-02-25 13:39:50;6300;6C-A0-DA-BB-BA-47-1B-B6-22-E2-1D-6B-20-F4-4C-CA;;;9;1458067523;komputery
92;(Kupujący);Pozytywny;2011-02-25 13:33:08;21500;CA-E1-15-DE-E1-DF-DA-2C-77-D5-9E-60-8E-94-98-7A;;;52;1448438759;komputery
93;(Kupujący);Pozytywny;2011-02-25 12:51:54;14900;81-63-B7-F3-15-EC-E3-70-58-04-17-48-3E-03-A1-7B;;;11;1444618969;komputery
96;(Kupujący);Pozytywny;2011-02-25 10:02:40;59900;FA-9C-92-69-9E-01-68-07-4A-85-F2-F7-9F-29-1D-90;;;34;1436117683;komputery
97;(Kupujący);Pozytywny;2011-02-25 07:39:00;16500;BD-D0-B9-5D-A1-25-05-1E-E7-E1-19-29-60-13-4B-15;;;578;1449130087;komputery
98;(Kupujący);Pozytywny;2011-02-25 07:39:00;10500;BD-D0-B9-5D-A1-25-05-1E-E7-E1-19-29-60-13-4B-15;;;578;1442138733;komputery
99;(Kupujący);Pozytywny;2011-02-25 05:10:11;26900;21-BB-A2-42-85-BE-CC-D0-FE-71-E2-13-43-66-6F-4E;;;109;1448437433;komputery
100;(Kupujący);Pozytywny;2011-02-25 00:22:03;6900;0D-10-21-A1-AB-9F-55-91-CA-91-CB-23-35-62-95-10;;;43;1438593769;komputery
101;(Kupujący);Pozytywny;2011-02-25 00:13:13;11000;60-0A-6F-D8-1A-5B-09-51-CA-D2-AB-1E-31-B0-61-70;;;101;1461870602;komputery
102;(Kupujący);Pozytywny;2011-02-24 23:47:05;2200;5D-8F-9B-F0-74-24-24-12-03-30-6B-17-07-E4-E7-01;;;13;1398474687;fotografia
103;(Kupujący);Pozytywny;2011-02-24 23:47:01;3500;5D-8F-9B-F0-74-24-24-12-03-30-6B-17-07-E4-E7-01;;;13;1395767882;komputery
104;(Kupujący);Pozytywny;2011-02-24 23:46:44;14900;5D-8F-9B-F0-74-24-24-12-03-30-6B-17-07-E4-E7-01;;;13;1399079671;komputery
105;(Kupujący);Pozytywny;2011-02-24 23:30:06;85900;C2-C9-54-3A-35-64-DD-A0-D5-46-EF-70-ED-D4-62-27;;;642;1430378370;komputery
106;(Kupujący);Pozytywny;2011-02-24 23:10:47;10900;C4-19-E8-6D-08-52-EB-A1-5E-F5-39-ED-D9-C9-F1-E4;;;152;1426816935;komputery
107;(Kupujący);Pozytywny;2011-02-24 21:53:50;9600;5C-85-BA-ED-40-FD-3A-35-22-A6-70-A4-95-6B-A6-63;;;16;1445722789;komputery
108;(Kupujący);Pozytywny;2011-02-24 21:24:19;3000;77-C8-D5-A7-C1-E7-2F-8B-29-9F-44-95-E9-73-D3-F5;;;17;1442136624;komputery
109;(Kupujący);Pozytywny;2011-02-24 21:14:46;9300;6A-91-E0-64-89-31-B0-D9-47-17-9E-F1-3C-49-0E-04;;;121;1436614694;komputery
111;(Kupujący);Pozytywny;2011-02-24 19:12:22;7900;E1-45-3D-65-D8-59-C0-4B-D9-EF-08-F2-B2-CD-31-D2;;;56;1417124729;rtv-i-agd
112;(Kupujący);Pozytywny;2011-02-24 19:00:31;7200;01-AA-82-8A-72-07-4A-DC-F0-D4-A3-90-6D-1B-D7-AD;;;5;1449144486;komputery
113;(Kupujący);Pozytywny;2011-02-24 17:41:54;1200;E0-47-58-50-08-07-2E-2B-46-7D-75-58-70-77-2B-81;;;111;1429720460;komputery
115;(Kupujący);Pozytywny;2011-02-24 17:23:26;8500;13-10-F6-DC-EC-E5-4D-8D-EB-2D-C5-8D-28-52-D4-54;;;10;1463297528;komputery
116;(Kupujący);Pozytywny;2011-02-24 17:23:13;24500;16-1B-0E-D8-17-59-A5-8B-AB-AA-B3-83-FE-BC-A0-F4;;;294;1457143628;fotografia
117;(Kupujący);Pozytywny;2011-02-24 17:19:11;5500;53-6E-84-B4-B4-C5-52-1E-38-16-47-D1-FA-4D-C1-B6;;;133;1451268441;komputery
119;(Kupujący);Pozytywny;2011-02-24 15:56:10;10900;46-05-0C-63-44-4A-50-D9-24-81-36-F2-C1-BD-28-D9;;;58;1443335346;komputery
120;(Kupujący);Pozytywny;2011-02-24 15:10:53;37900;78-E2-D0-64-1A-E3-28-69-90-97-E5-AC-BE-54-09-04;;;50;1446180440;komputery
121;(Kupujący);Pozytywny;2011-02-24 13:10:24;11200;39-4E-AF-2F-9C-B1-33-26-2E-00-AA-33-95-22-57-B8;;;77;1451261987;komputery
122;(Kupujący);Pozytywny;2011-02-24 13:07:58;22500;67-4F-D9-94-06-08-AF-F4-13-F7-0C-FD-BC-B6-6C-56;;;115;1417996428;komputery
123;(Kupujący);Pozytywny;2011-02-24 11:55:32;5700;B7-32-0E-42-F8-E7-5A-F2-18-CC-80-5C-7C-33-81-4E;;;21;1456437795;komputery
